"Código","País","Programa","Área","Oferente","Tipo curso","Título","Inicio","Fin","Duración","Idioma","Entrega documentos","Fecha comité becas","Institución","Ciudad","Cantidad","Porcentaje","Cubrimiento","Observaciones"
"2138918","Israel (Estado de Israel)","GESTIÓN INTEGRAL Y SOSTENIBLE DE RECURSOS HÍDRICOS PARA EL DESARROLLO DEL SECTOR AGROPECUARIO","CIENCIAS NATURALES O AGROPECUARIAS","GOBIERNO DE ISRAEL","Presencial","CERTIFICADO DEL CURSO","2018-06-04","2018-06-22","19 Día(s)","Español","2018-04-02","2018-04-12","CENTRO INTERNACIONAL DE CAPACITACIÓN AGRÍCOLA (MATC)","Kibutz Shefayim","NO DETERMINADO","80%","PARCIAL","NO INCLUYE TIQUETES AÉREOS"
"2249718","Egipto (República Árabe de Egipto)","PRODUCCIÓN Y SANIDAD ANIMAL","CIENCIAS AGROPECUARIAS","GOBIERNO DE EGIPTO","Presencial","CERTIFICADO DEL CURSO","2018-10-01","2018-12-15","11 Semana(s)","Inglés","2018-05-07","2018-05-24","CENTRO EGIPCIO INTERNACIONAL PARA LA AGRICULTURA","El Cairo","1","70%","PARCIAL","EICA podrá conceder una beca parcial con cubrimiento de los gastos de capacitación pero sin el cubrimiento del tiquete aéreo de ida y vuelta."
"2249718","Egipto (República Árabe de Egipto)","PRODUCCIÓN Y SANIDAD ANIMAL","CIENCIAS AGROPECUARIAS","GOBIERNO DE EGIPTO","Presencial","CERTIFICADO DEL CURSO","2018-10-01","2018-12-15","11 Semana(s)","Inglés","2018-05-07","2018-05-24","CENTRO EGIPCIO INTERNACIONAL PARA LA AGRICULTURA","El Cairo","1","100%","COMPLETA"," "
"2249818","Egipto (República Árabe de Egipto)","DESARROLLO DE LA PISCICULTURA","CIENCIAS AGROPECUARIAS","GOBIERNO DE EGIPTO","Presencial","CERTIFICADO DEL CURSO","2018-10-01","2018-12-15","11 Semana(s)","Inglés","2018-05-07","2018-05-24","CENTRO EGIPCIO INTERNACIONAL PARA LA AGRICULTURA","El Cairo","1","70%","PARCIAL","EICA podrá conceder una beca parcial con cubrimiento de los gastos de capacitación, pero sin el cubrimiento del tiquete aéreo de ida y vuelta."
"2249818","Egipto (República Árabe de Egipto)","DESARROLLO DE LA PISCICULTURA","CIENCIAS AGROPECUARIAS","GOBIERNO DE EGIPTO","Presencial","CERTIFICADO DEL CURSO","2018-10-01","2018-12-15","11 Semana(s)","Inglés","2018-05-07","2018-05-24","CENTRO EGIPCIO INTERNACIONAL PARA LA AGRICULTURA","El Cairo","1","100%","COMPLETA"," "
"2249918","Egipto (República Árabe de Egipto)","MANEJO DE SUELOS Y AGUAS","CIENCIAS AGROPECUARIAS","GOBIERNO DE EGIPTO","Presencial","CERTIFICADO DEL CURSO","2018-10-01","2018-12-15","11 Semana(s)","Inglés","2018-05-07","2018-05-24","CENTRO EGIPCIO INTERNACIONAL PARA LA AGRICULTURA","El Cairo","1","70%","PARCIAL","EICA podrá conceder una beca parcial con cubrimiento de los gastos de capacitación pero sin el cubrimiento del tiquete aéreo de ida y vuelta."
"2249918","Egipto (República Árabe de Egipto)","MANEJO DE SUELOS Y AGUAS","CIENCIAS AGROPECUARIAS","GOBIERNO DE EGIPTO","Presencial","CERTIFICADO DEL CURSO","2018-10-01","2018-12-15","11 Semana(s)","Inglés","2018-05-07","2018-05-24","CENTRO EGIPCIO INTERNACIONAL PARA LA AGRICULTURA","El Cairo","1","100%","COMPLETA"," "
"2253818","Singapur (República de Singapur)","SOCIAL COHESION AND RACIAL HARMONY","CIENCIAS SOCIALES","GOBIERNO DE SINGAPUR - SCP","Presencial","CERTIFICADO DEL CURSO","2018-06-04","2018-06-08","5 Día(s)","Inglés","2018-04-03","2018-04-12","SINGAPORE COOPERATION PROGRAMME TRAINING AWARD","Singapur","1","70%","PARCIAL","NO CUBRE TIQUETES AÉREOS."
"2254118","Tailandia (Reino de Tailandia)","COMMUNITY - BASED MICROCREDIT AND SUFFICIENCY ECONOMY DEVELOPMENT","ADMINISTRACIÓN - ECONOMÍA","GOBIERNO DE TAILANDIA - TICA","Presencial","CERTIFICADO DEL CURSO","2018-07-01","2018-07-15","15 Día(s)","Inglés","2018-04-04","2018-04-12","COMMUNITY DEVELOPMENT DEPARTMENT","Bangkok","1 - 2","100%","COMPLETA"," "
"2254218","Tailandia (Reino de Tailandia)","COMMUNITY HEALTH VOLUNTEER AS AGENT OF HEALTH PROMOTION AND DISEASE PREVENTION","CIENCIAS DE LA SALUD","GOBIERNO DE TAILANDIA - TICA","Presencial","CERTIFICADO DEL CURSO","2018-07-02","2018-07-20","2 Semana(s)","Inglés","2018-04-03","2018-04-12","FACULTY OR NURSING, CHIANG MAI UNIVERSITY","Chiang Mai","1 - 2","100%","COMPLETA"," "
"2254318","Tailandia (Reino de Tailandia)","MOVING TOWARDS SDGs VIA CORPORATE SOCIAL RESPONSIBILITY AND SUFFICIENCY ECONOMY PHILOSOPHY","ADMINISTRACIÓN - ECONOMÍA","GOBIERNO DE TAILANDIA - TICA","Presencial","CERTIFICADO DEL CURSO","2018-07-09","2018-07-21","14 Día(s)","Inglés","2018-04-04","2018-04-12","PUEY UNGPHAKORN SCHOOL OF DEVELOPMENT STUDIES, THAMMASART UNIVERSITY","Bangkok","1 - 2","100%","COMPLETA"," "
"2254418","Tailandia (Reino de Tailandia)","ADAPTING TO CLIMATE CHANGE: FACING THE CONSEQUENCE","ADMINISTRACIÓN - ECONOMÍA","GOBIERNO DE TAILANDIA - TICA","Presencial","CERTIFICADO DEL CURSO","2018-07-09","2018-07-27","14 Día(s)","Inglés","2018-04-04","2018-04-12","FACULTY OF ENVIRONMENT AND RESOURCE STUDIES, MAHIDOL UNIVERSITY (SALAYA CAMPUS)","Nakhon Pathom","1 - 2","100%","COMPLETA"," "
"2254518","Israel (Estado de Israel)","LEADERSHIP FOR CIVIL SOCIETY ACTIVISM","CIENCIAS SOCIALES","GOBIERNO DE ISRAEL","Presencial","CERTIFICADO DEL CURSO","2018-07-15","2018-07-31","17 Día(s)","Inglés","2018-04-30","2018-05-10","CENTRO INTERNACIONAL DE CAPACITACIÓN GOLDA MEIR MONTE CARMEL (MCTC)","Haifa","NO DETERMINADO","80%","PARCIAL","NO INCLUYE TIQUETES AÉREOS"
"2254618","Singapur (República de Singapur)","LEADERSHIP DEVELOPMENT PROGRAMME","ADMINISTRACIÓN","GOBIERNO DE SINGAPUR - SCP","Presencial","CERTIFICADO DEL CURSO","2018-05-14","2018-05-18","5 Día(s)","Inglés","2018-04-02","2018-04-05","NATIONAL UNIVERSITY OF SINGAPORE - BUSINESS SCHOOL","Singapur","1","100%","COMPLETA"," "
"2254718","Israel (Estado de Israel)","ENVIRONMENTAL MANAGEMENT OF NATURE PARKS AND RESERVES: FOCUS ON ECOSYSTEM SERVICES","CIENCIAS NATURALES Y ECOLOGIA","GOBIERNO DE ISRAEL","Presencial","CERTIFICADO DEL CURSO","2018-06-10","2018-06-29","3 Semana(s)","Inglés","2018-04-04","2018-04-12","INSTITUTO ARAVA DE ESTUDIOS AMBIENTALES","Kibbutz Ketura","NO DETERMINADO","80%","PARCIAL","NO INCLUYE TIQUETES AÉREOS"
"2254818","Israel (Estado de Israel)","POLITICAL EMPOWERMENT OF WOMEN","CIENCIAS SOCIALES","GOBIERNO DE ISRAEL","Presencial","CERTIFICADO DEL CURSO","2018-06-18","2018-06-28","11 Día(s)","Inglés","2018-04-04","2018-04-12","CENTRO INTERNACIONAL DE CAPACITACIÓN GOLDA MEIR MONTE CARMEL (MCTC)","Haifa","NO DETERMINADO","80%","PARCIAL","NO INCLUYE TIQUETES AÉREOS"
